County,Year-Month,Value,AQI,Pollutant
Santa Cruz.1,1/1/2014,0.05,58,14129
Santa Cruz.2,2/1/2014,0.052,27,14129
Santa Cruz.3,3/1/2014,0.0655,34,14129
Santa Cruz.4,4/1/2014,0.036,40,14129
Santa Cruz.5,5/1/2014,0.03,37,14129
Santa Cruz.6,6/1/2014,0.023,36,14129
Santa Cruz.7,7/1/2014,0.021,27,14129
Santa Cruz.8,8/1/2014,0.021,30,14129
Santa Cruz.9,9/1/2014,0.021,34,14129
Santa Cruz.10,10/1/2014,0.017,34,14129
Santa Cruz.11,11/1/2014,0.019,43,14129
Santa Cruz.12,12/1/2014,0.0235,35,14129
Shasta.1,1/1/2014,0.05,63,14129
Shasta.2,2/1/2014,0.052,27.5,14129
Shasta.3,3/1/2014,0.0655,34,14129
Shasta.4,4/1/2014,0.036,39,14129
Shasta.5,5/1/2014,0.03,37,14129
Shasta.6,6/1/2014,0.023,36,14129
Shasta.7,7/1/2014,0.021,27,14129
Shasta.8,8/1/2014,0.021,29,14129
Shasta.9,9/1/2014,0.021,33,14129
Shasta.10,10/1/2014,0.017,33,14129
Shasta.11,11/1/2014,0.019,49,14129
Shasta.12,12/1/2014,0.0235,38,14129
Sierra.1,1/1/2014,0.05,63,14129
Sierra.2,2/1/2014,0.052,27,14129
Sierra.3,3/1/2014,0.0655,34,14129
Sierra.4,4/1/2014,0.036,40,14129
Sierra.5,5/1/2014,0.03,38,14129
Sierra.6,6/1/2014,0.023,35,14129
Sierra.7,7/1/2014,0.021,29,14129
Sierra.8,8/1/2014,0.021,31,14129
Sierra.9,9/1/2014,0.021,34,14129
Sierra.10,10/1/2014,0.017,34,14129
Sierra.11,11/1/2014,0.019,49,14129
Sierra.12,12/1/2014,0.0235,38,14129
Siskiyou.1,1/1/2014,0.05,60,14129
Siskiyou.2,2/1/2014,0.052,27,14129
Siskiyou.3,3/1/2014,0.0655,34,14129
Siskiyou.4,4/1/2014,0.036,40,14129
Siskiyou.5,5/1/2014,0.03,38,14129
Siskiyou.6,6/1/2014,0.023,34.5,14129
Siskiyou.7,7/1/2014,0.021,28,14129
Siskiyou.8,8/1/2014,0.021,31,14129
Siskiyou.9,9/1/2014,0.021,33,14129
Siskiyou.10,10/1/2014,0.017,34,14129
Siskiyou.11,11/1/2014,0.019,45,14129
Siskiyou.12,12/1/2014,0.0235,37,14129
Solano.1,1/1/2014,0.05,60,14129
Solano.2,2/1/2014,0.052,28,14129
Solano.3,3/1/2014,0.0655,34,14129
Solano.4,4/1/2014,0.036,40,14129
Solano.5,5/1/2014,0.03,38,14129
Solano.6,6/1/2014,0.023,36,14129
Solano.7,7/1/2014,0.021,29,14129
Solano.8,8/1/2014,0.021,31,14129
Solano.9,9/1/2014,0.021,35,14129
Solano.10,10/1/2014,0.017,34,14129
Solano.11,11/1/2014,0.019,44,14129
Solano.12,12/1/2014,0.0235,34,14129
Sonoma.1,1/1/2014,0.05,60,14129
Sonoma.2,2/1/2014,0.052,27,14129
Sonoma.3,3/1/2014,0.0655,34,14129
Sonoma.4,4/1/2014,0.036,40,14129
Sonoma.5,5/1/2014,0.03,37,14129
Sonoma.6,6/1/2014,0.023,36,14129
Sonoma.7,7/1/2014,0.021,27,14129
Sonoma.8,8/1/2014,0.021,30,14129
Sonoma.9,9/1/2014,0.021,34,14129
Sonoma.10,10/1/2014,0.017,34,14129
Sonoma.11,11/1/2014,0.019,44,14129
